,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,training_prediction_score,Homogeneity Score,Completeness Score,V_measure Score,Accuracy Score,Balanced Accuracy Score,F1 Score
0,entropy,random,6.0,2.0,1.0,9.0,0.9648351648351648,0.8321107824389197,0.8524309545739664,0.8421483101315077,0.9736842105263158,0.9642857142857143,0.9795918367346939
1,gini,random,6.0,2.0,1.0,10.0,0.9824175824175824,0.8321107824389197,0.8524309545739664,0.8421483101315077,0.9736842105263158,0.9642857142857143,0.9795918367346939
2,entropy,random,3.0,2.0,1.0,18.0,0.9626373626373627,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
3,gini,best,4.0,2.0,1.0,12.0,0.9956043956043956,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
4,entropy,best,5.0,2.0,1.0,19.0,1.0,0.7703287077424953,0.7823617772678647,0.7762986154524608,0.9649122807017544,0.9573412698412699,0.9726027397260274
5,gini,random,3.0,52.0,1.0,12.0,0.9626373626373627,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
6,entropy,random,6.0,2.0,1.0,16.0,0.989010989010989,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
7,entropy,random,7.0,102.0,1.0,13.0,0.9582417582417583,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
8,entropy,random,7.0,2.0,1.0,11.0,0.978021978021978,0.7710129108157653,0.7710129108157653,0.7710129108157653,0.9649122807017544,0.9623015873015872,0.9722222222222222
9,entropy,random,3.0,52.0,1.0,11.0,0.9516483516483516,0.7703287077424953,0.7823617772678647,0.7762986154524608,0.9649122807017544,0.9573412698412699,0.9726027397260274
10,entropy,best,6.0,2.0,1.0,13.0,1.0,0.7703287077424953,0.7823617772678647,0.7762986154524608,0.9649122807017544,0.9573412698412699,0.9726027397260274
11,entropy,random,8.0,52.0,1.0,15.0,0.9560439560439561,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
12,gini,random,8.0,2.0,1.0,17.0,1.0,0.7703287077424953,0.7823617772678647,0.7762986154524608,0.9649122807017544,0.9573412698412699,0.9726027397260274
13,gini,best,8.0,2.0,1.0,11.0,0.9956043956043956,0.7911270612956373,0.8179686272327324,0.8043239701754368,0.9649122807017544,0.9523809523809523,0.972972972972973
14,entropy,best,5.0,2.0,1.0,16.0,1.0,0.7298645174781576,0.7476878325263648,0.7386686760837604,0.956140350877193,0.9454365079365079,0.9659863945578231
15,gini,best,8.0,2.0,1.0,19.0,1.0,0.7533358058351143,0.7866242471601276,0.7696202378382678,0.956140350877193,0.9404761904761905,0.9664429530201343
16,entropy,random,6.0,302.0,1.0,9.0,0.9472527472527472,0.7298645174781576,0.7476878325263648,0.7386686760837604,0.956140350877193,0.9454365079365079,0.9659863945578231
17,gini,random,8.0,52.0,1.0,18.0,0.9384615384615385,0.7533358058351143,0.7866242471601276,0.7696202378382678,0.956140350877193,0.9404761904761905,0.9664429530201343
18,entropy,random,8.0,2.0,1.0,9.0,0.9736263736263736,0.7533358058351143,0.7866242471601276,0.7696202378382678,0.956140350877193,0.9404761904761905,0.9664429530201343
19,gini,random,4.0,52.0,1.0,17.0,0.9626373626373627,0.7533358058351143,0.7866242471601276,0.7696202378382678,0.956140350877193,0.9404761904761905,0.9664429530201343
20,gini,random,8.0,102.0,1.0,6.0,0.9142857142857143,0.7335376076379378,0.728486398096482,0.7310032770467954,0.956140350877193,0.9553571428571428,0.965034965034965
21,gini,best,6.0,2.0,1.0,11.0,0.9956043956043956,0.7298645174781576,0.7476878325263648,0.7386686760837604,0.956140350877193,0.9454365079365079,0.9659863945578231
22,gini,best,6.0,2.0,1.0,10.0,0.9956043956043956,0.7533358058351143,0.7866242471601276,0.7696202378382678,0.956140350877193,0.9404761904761905,0.9664429530201343
23,gini,best,6.0,2.0,1.0,9.0,0.9934065934065934,0.7533358058351143,0.7866242471601276,0.7696202378382678,0.956140350877193,0.9404761904761905,0.9664429530201343
24,gini,random,5.0,2.0,1.0,18.0,0.989010989010989,0.7533358058351143,0.7866242471601276,0.7696202378382678,0.956140350877193,0.9404761904761905,0.9664429530201343
25,gini,best,5.0,2.0,1.0,19.0,0.9978021978021978,0.7533358058351143,0.7866242471601276,0.7696202378382678,0.956140350877193,0.9404761904761905,0.9664429530201343
26,gini,best,5.0,2.0,1.0,10.0,0.9956043956043956,0.7533358058351143,0.7866242471601276,0.7696202378382678,0.956140350877193,0.9404761904761905,0.9664429530201343
27,gini,random,5.0,302.0,1.0,7.0,0.9538461538461539,0.7298645174781576,0.7476878325263648,0.7386686760837604,0.956140350877193,0.9454365079365079,0.9659863945578231
28,entropy,random,8.0,52.0,1.0,5.0,0.9538461538461539,0.7298645174781576,0.7476878325263648,0.7386686760837604,0.956140350877193,0.9454365079365079,0.9659863945578231
29,gini,random,5.0,152.0,1.0,6.0,0.9516483516483516,0.7298645174781576,0.7476878325263648,0.7386686760837604,0.956140350877193,0.9454365079365079,0.9659863945578231
